measure,f1,f2,f3
li,-0.23659999999999992,0.83,3.0
li,0.015000000000000013,0.27,3.0
li,-0.26926666666666654,0.87,3.0
li,-0.010666666666666602,0.24,2.0
li,-0.25388888888888883,0.8500000000000001,3.0
li,-0.002688888888888852,0.37,3.0
li,0.01873333333333338,0.22999999999999998,3.0
li,-0.03788888888888886,0.31,2.0
li,-0.04266666666666663,0.32,2.0
li,0.0169111111111111,0.25,3.0
li,-0.0023333333333332984,0.21,2.0
li,0.0,0.2,2.0
li,-0.08746666666666658,0.6000000000000001,3.0
li,-0.0048888888888888316,0.22,2.0
li,-0.11733333333333329,0.44,2.0
li,0.0021111111111111747,0.19,2.0
li,0.014311111111111163,0.28,3.0
li,-0.03733333333333333,0.48000000000000004,3.0
li,0.002466666666666728,0.35,3.0
li,0.011111111111111183,0.1,2.0
li,-0.052888888888888874,0.34,2.0
li,-0.09566666666666657,0.41,2.0
li,-0.03299999999999992,0.47000000000000003,3.0
li,0.006333333333333413,0.32999999999999996,3.0
li,-0.0888888888888888,0.4,2.0
li,-0.13288888888888883,0.46,2.0
li,0.017333333333333423,0.24000000000000002,3.0
li,0.01980000000000004,0.2,3.0
li,-0.06399999999999995,0.36,2.0
li,0.007111111111111179,0.16,2.0
li,0.008333333333333415,0.15,2.0
li,-0.052888888888888874,0.34,2.0
li,0.009333333333333416,0.14,2.0
li,0.008333333333333415,0.15,2.0
li,-0.04266666666666663,0.32,2.0
li,-0.20628888888888885,0.79,3.0
li,-0.014466666666666628,0.42,3.0
li,0.007111111111111179,0.16,2.0
li,0.009333333333333416,0.14,2.0
li,-0.19866666666666655,0.78,3.0
li,-0.01733333333333331,0.26,2.0
li,-0.03788888888888886,0.31,2.0
